pvs,pvs_duration,question,answer,correct,mos,arousal,valence,approach_avoidance,quest_duration
,162.57896399498,,,,1,,,,3.135843038559
Landscapes_013_v_C.jpg,162.57896399498,,,,1,,,,208.51323413849
Landscapes_013_v_C.jpg,162.57896399498,,,,1,,,,266.7938170433
Landscapes_013_v_C.jpg,162.57896399498,,,,1,,,,583.57764792442
Landscapes_013_v_C.jpg,162.57896399498,,,,1,,,,672.6640059948
Landscapes_013_v_C.jpg,162.57896399498,,,,1,,,,744.73818612099
Animals_202_h_C.jpg,1.2075369358063,false,true,false,2,,,,6.7426660060883
Animals_146_h_D.jpg,1.4309530258179,true,false,true,4,,,,3.0804538726807
Landscapes_003_v_D.jpg,1.0163481235504,,,,5,,,,2.8337988853455
Landscapes_001_h_A.jpg,0.91234087944031,,,,4,,,,1.7824440002441
